State,District,D,R,,Comments,June Cook Ratings,Opposition Primary,
NJ,NJ-09,,,,,Safe D,,
NJ,NJ-10,,,,,Safe D,,
NJ,NJ-11,Sherrill (i),Becchi,,,Likely D,,
NJ,NJ-12,,,,,Safe D,,
NM,NM-01,,,,,Safe D,,
NM,NM-02,Torres Small (i),Herrell,,,Toss-Up,,
NM,NM-03,,,,,Safe D,,
NV,NV-01,,,,,Safe D,,
NV,NV-02,,,,,Safe R,,
NV,NV-03,Lee (i),Rodimer,,,Lean D,,
NV,NV-04,Horsford (i),Marchant,,,Likely D,,
NY,NY-01,Gershon,Zeldin (i),,,Likely R,,
NY,NY-02,Gordon,Garbarino,,,Lean R,,
NY,NY-03,,,,,Safe D,,
NY,NY-04,,,,,Safe D,,
NY,NY-05,,,,,Safe D,,
NY,NY-06,,,,,Safe D,,
NY,NY-07,,,,,Safe D,,
NY,NY-08,,,,,Safe D,,
NY,NY-09,,,,,Safe D,,
NY,NY-10,,,,,Safe D,,
NY,NY-11,Rose (i),Malliotakis,,,Toss-Up,,
NY,NY-12,,,,,Safe D,,
NY,NY-13,,,,,Safe D,,
NY,NY-14,,,,,Safe D,,
NY,NY-15,,,,,Safe D,,
NY,NY-16,,,,,Safe D,,"2, 11, 19, 22, 24"
NY,NY-17,,,,,Safe D,,
NY,NY-18,Maloney (i),Farley,,,Likely D,,
NY,NY-19,Delgado (i),Hawatmeh,,,Lean D,,
NY,NY-20,,,,,Safe D,,
NY,NY-21,,,,,Safe R,,
NY,NY-22,Brindisi (i),Tenney,,,Toss-Up,,
NY,NY-23,,,,,Safe R,,
NY,NY-24,Balter,Katko (i),,,Lean R,,
NY,NY-25,,,,,Safe D,,
NY,NY-26,,,,,Safe D,,
NY,NY-27,,,,,Safe R,,
OH,OH-01,Schroder,Chabot (i),,,Toss-Up,,
OH,OH-02,,,,,Safe R,,
OH,OH-03,,,,,Safe D,,
OH,OH-04,,,,,Safe R,,
OH,OH-05,,,,,Safe R,,
OH,OH-06,,,,,Safe R,,
OH,OH-07,,,,,Safe R,,
OH,OH-08,,,,,Safe R,,
OH,OH-09,,,,,Safe D,,
OH,OH-10,,,,,Safe R,,
OH,OH-11,,,,,Safe D,,
OH,OH-12,Shearer,Balderson (i),,,Likely R,,
OH,OH-13,,,,,Safe D,,
OH,OH-14,,,,,Safe R,,
OH,OH-15,,,,,Safe R,,
OH,OH-16,,,,,Safe R,,
OK,OK-01,,,,,Safe R,,
OK,OK-02,,,,,Safe R,,
OK,OK-03,,,,,Safe R,,
OK,OK-04,,,,,Safe R,,
OK,OK-05,Horn (i),,,,Toss-Up,August 25 runoff,
OR,OR-01,,,,,Safe D,,
OR,OR-02,,,,,Safe R,,
OR,OR-03,,,,,Safe D,,
OR,OR-04,DeFazio (i),Skarlatos,,,Likely D,,
OR,OR-05,,,,,Safe D,,
PA,PA-01,Finello,Fitzpatrick (i),,,Lean R,,
PA,PA-02,,,,,Safe D,,
PA,PA-03,,,,,Safe D,,
PA,PA-04,,,,,Safe D,,
PA,PA-05,,,,,Safe D,,
PA,PA-06,,,,,Safe D,,
PA,PA-07,Wild (i),Scheller,,,Lean D,,
PA,PA-08,Cartwright (i),Bognet,,,Lean D,,
PA,PA-09,,,,,Safe R,,
PA,PA-10,DePasquale,Perry (i),,,Toss-Up,,
PA,PA-11,,,,,Safe R,,
PA,PA-12,,,,,Safe R,,
PA,PA-13,,,,,Safe R,,
PA,PA-14,,,,,Safe R,,
PA,PA-15,,,,,Safe R,,
PA,PA-16,,,,,Safe R,,
PA,PA-17,Lamb (i),Parnell,,,Likely D,,
PA,PA-18,,,,,Safe D,,
RI,RI-01,,,,,Safe D,,
RI,RI-02,,,,,Safe D,,
SC,SC-01,Cunningham (i),Mace,,,Toss-Up,,
SC,SC-02,,,,,Safe R,,
SC,SC-03,,,,,Safe R,,
SC,SC-04,,,,,Safe R,,
SC,SC-05,,,,,Safe R,,
SC,SC-06,,,,,Safe D,,
SC,SC-07,,,,,Safe R,,
SD,SD-01,,,,,Safe R,,
TN,TN-01,,,,,Safe R,,
TN,TN-02,,,,,Safe R,,
TN,TN-03,,,,,Safe R,,
TN,TN-04,,,,,Safe R,,
TN,TN-05,,,,,Safe D,,
TN,TN-06,,,,,Safe R,,
TN,TN-07,,,,,Safe R,,
TN,TN-08,,,,,Safe R,,
TN,TN-09,,,,,Safe D,,
TX,TX-01,,,,,Safe R,,
TX,TX-02,Ladjevardian,Crenshaw (i),,,Likely R,,
TX,TX-03,Seikaly,Taylor (i),,,Likely R,,
TX,TX-04,,,,,Safe R,,
TX,TX-05,,,,,Safe R,,
TX,TX-06,Daniel,Wright (i),,,Likely R,,
TX,TX-07,Fletcher (i),Hunt,,,Lean D,,
TX,TX-08,,,,,Safe R,,
TX,TX-09,,,,,Safe D,,
TX,TX-10,Siegel,McCaul (i),,,Lean R,,
TX,TX-11,,,,,Safe R,,
TX,TX-12,,,,,Safe R,,
TX,TX-13,,,,,Safe R,,
TX,TX-14,,,,,Safe R,,
TX,TX-15,,,,,Safe D,,
TX,TX-16,,,,,Safe D,,
TX,TX-17,,,,,Safe R,,
TX,TX-18,,,,,Safe D,,
TX,TX-19,,,,,Safe R,,
TX,TX-20,,,,,Safe D,,
TX,TX-21,Davis,Roy (i),,,Toss-Up,,
TX,TX-22,Kulkarni,Nehls,,,Toss-Up,,
TX,TX-23,Jones,,,,Lean D,July 14 runoff,
TX,TX-24,Valenzuela,Van Duyne,,,Toss-Up,,
TX,TX-25,Oliver,Williams (i),,,Likely R,,
TX,TX-26,,,,,Safe R,,
TX,TX-27,,,,,Safe R,,
TX,TX-28,,,,,Safe D,,
