State,State House Seat,State Senate Seat
NY,"NY-HD-9, NY-HD-15, NY-HD-20, NY-HD-99, NY-HD-107, NY-HD-121, NY-HD-131, NY-HD-135, NY-HD-142, NY-HD-146","NY-SD-1, NY-SD-2, NY-SD-3, NY-SD-4, NY-SD-6, NY-SD-8, NY-SD-22, NY-SD-39, NY-SD-40, NY-SD-41, NY-SD-42, NY-SD-46, NY-SD-50, NY-SD-55, NY-SD-56, NY-SD-61"
OH,"OH-HD-6, OH-HD-16, OH-HD-27, OH-HD-28, OH-HD-36, OH-HD-37, OH-HD-43, OH-HD-59, OH-HD-60, OH-HD-75, OH-HD-99","OH-SD-16, OH-SD-24, OH-SD-32"
OK,"OK-HD-4, OK-HD-24, OK-HD-34, OK-HD-46, OK-HD-56, OK-HD-62, OK-HD-64, OK-HD-79, OK-HD-83, OK-HD-95, OK-HD-100","OK-SD-35, OK-SD-37, OK-SD-39"
OR,"OR-HD-9, OR-HD-26, OR-HD-32, OR-HD-49, OR-HD-52, OR-HD-54","OR-SD-5, OR-SD-10, OR-SD-27"
PA,"PA-HD-9, PA-HD-18, PA-HD-26, PA-HD-28, PA-HD-30, PA-HD-44, PA-HD-49, PA-HD-50, PA-HD-53, PA-HD-55, PA-HD-61, PA-HD-72, PA-HD-105, PA-HD-119, PA-HD-131, PA-HD-143, PA-HD-144, PA-HD-146, PA-HD-151, PA-HD-152, PA-HD-155, PA-HD-158, PA-HD-160, PA-HD-162, PA-HD-165, PA-HD-167, PA-HD-168, PA-HD-178","PA-SD-9, PA-SD-15, PA-SD-37, PA-SD-49"
RI,"RI-HD-15, RI-HD-16, RI-HD-26, RI-HD-28, RI-HD-30, RI-HD-36, RI-HD-46, RI-HD-53","RI-SD-17, RI-SD-33, RI-SD-35"
SC,"SC-HD-015, SC-HD-044, SC-HD-115, SC-HD-116, SC-HD-117","SC-SD-10, SC-SD-20, SC-SD-41, SC-SD-43"
SD,,"SD-SD-1, SD-SD-12, SD-SD-18, SD-SD-26"
TN,"TN-HD-13, TN-HD-18, TN-HD-49, TN-HD-56, TN-HD-67, TN-HD-97",TN-SD-20
TX,"TX-HD-26, TX-HD-45, TX-HD-47, TX-HD-52, TX-HD-54, TX-HD-65, TX-HD-66, TX-HD-67, TX-HD-92, TX-HD-96, TX-HD-108, TX-HD-112, TX-HD-113, TX-HD-121, TX-HD-132, TX-HD-134, TX-HD-135, TX-HD-138",TX-SD-19
UT,"UT-HD-8, UT-HD-9, UT-HD-10, UT-HD-33, UT-HD-38, UT-HD-43, UT-HD-45, UT-HD-47, UT-HD-49, UT-HD-54",
WA,,"WA-SD-5, WA-SD-10, WA-SD-17, WA-SD-19, WA-SD-25, WA-SD-28"
WI,"WI-HD-13, WI-HD-14, WI-HD-23, WI-HD-24, WI-HD-30, WI-HD-51, WI-HD-74, WI-HD-88, WI-HD-96","WI-SD-24, WI-SD-30, WI-SD-32"
WY,"WY-HD-8, WY-HD-11, WY-HD-14, WY-HD-33, WY-HD-41, WY-HD-44, WY-HD-45, WY-HD-60",WY-SD-12
