state,district,favored,confidence,redistricting_voter_power,anti_gerrymandering_party,abs_power
TX,TX-SD-18,R,Safe,1.29E-07,D,1.29149E-07
GA,GA-SD-37,R,Safe,1.28E-07,D,1.28456E-07
GA,GA-SD-52,R,Safe,1.28E-07,D,1.28024E-07
TX,TX-SD-24,R,Safe,1.27E-07,D,1.26788E-07
GA,GA-SD-31,R,Safe,1.27E-07,D,1.2657E-07
GA,GA-HD-101,D,Safe,1.26E-07,D,1.26013E-07
OR,OR-HD-6,R,Likely,-1.26E-07,R,1.25756E-07
TX,TX-SD-11,R,Safe,1.25E-07,D,1.25198E-07
TX,TX-SD-4,R,Safe,1.25E-07,D,1.248E-07
IN,IN-HD-76,R,Likely,1.24E-07,D,1.24348E-07
GA,GA-SD-16,R,Safe,1.23E-07,D,1.2287E-07
GA,GA-SD-14,R,Safe,1.22E-07,D,1.22286E-07
GA,GA-SD-13,R,Safe,1.21E-07,D,1.21226E-07
GA,GA-SD-47,R,Safe,1.20E-07,D,1.20316E-07
WI,WI-SD-12,R,Safe,1.20E-07,D,1.20309E-07
GA,GA-SD-50,R,Safe,1.18E-07,D,1.18265E-07
WI,WI-HD-1,R,Safe,1.18E-07,D,1.17949E-07
GA,GA-SD-23,R,Safe,1.17E-07,D,1.17124E-07
WI,WI-HD-40,R,Safe,1.17E-07,D,1.16793E-07
GA,GA-SD-20,R,Safe,1.16E-07,D,1.15612E-07
UT,UT-HD-64,R,Safe,1.16E-07,D,1.15571E-07
UT,UT-HD-21,R,Safe,1.15E-07,D,1.15393E-07
GA,GA-SD-1,R,Safe,1.15E-07,D,1.1534E-07
MN,MN-HD-32A,R,Safe,-1.14E-07,R,1.14149E-07
GA,GA-SD-3,R,Safe,1.14E-07,D,1.13984E-07
TX,TX-SD-12,R,Safe,1.14E-07,D,1.13659E-07
GA,GA-SD-25,R,Safe,1.13E-07,D,1.12792E-07
UT,UT-HD-5,R,Safe,1.11E-07,D,1.11417E-07
GA,GA-SD-46,R,Safe,1.11E-07,D,1.11242E-07
UT,UT-HD-56,R,Safe,1.11E-07,D,1.10938E-07
MN,MN-HD-08B,R,Safe,-1.11E-07,R,1.1086E-07
MN,MN-HD-16B,R,Safe,-1.10E-07,R,1.10332E-07
IL,IL-HD-62,D,Safe,-1.10E-07,R,1.10165E-07
UT,UT-HD-61,R,Safe,1.10E-07,D,1.10111E-07
IL,IL-HD-114,D,Safe,-1.09E-07,R,1.0942E-07
UT,UT-HD-13,R,Safe,1.09E-07,D,1.0921E-07
UT,UT-HD-48,R,Safe,1.08E-07,D,1.08011E-07
GA,GA-SD-51,R,Safe,1.08E-07,D,1.07562E-07
MN,MN-HD-15A,R,Safe,-1.07E-07,R,1.0669E-07
UT,UT-HD-19,R,Safe,1.06E-07,D,1.05879E-07
UT,UT-HD-1,R,Safe,1.05E-07,D,1.0547E-07
UT,UT-HD-68,R,Safe,1.05E-07,D,1.0469E-07
UT,UT-HD-7,R,Safe,1.04E-07,D,1.04082E-07
UT,UT-HD-12,R,Safe,1.04E-07,D,1.03735E-07
UT,UT-HD-17,R,Safe,1.04E-07,D,1.03543E-07
UT,UT-HD-60,R,Safe,1.03E-07,D,1.03032E-07
UT,UT-HD-70,R,Safe,1.03E-07,D,1.02923E-07
UT,UT-HD-16,R,Safe,1.02E-07,D,1.01765E-07
UT,UT-HD-15,R,Safe,1.01E-07,D,1.0088E-07
SC,SC-SD-20,D,Likely,1.01E-07,D,1.00779E-07
MN,MN-HD-10B,R,Safe,-1.00E-07,R,1.0032E-07
UT,UT-HD-41,R,Safe,1.00E-07,D,1.00304E-07
UT,UT-HD-42,R,Safe,1.00E-07,D,1.00028E-07
UT,UT-HD-72,R,Safe,9.96E-08,D,9.95866E-08
WI,WI-HD-39,R,Safe,9.92E-08,D,9.92086E-08
UT,UT-HD-6,R,Safe,9.89E-08,D,9.89257E-08
MN,MN-HD-33A,R,Safe,-9.86E-08,R,9.86238E-08
UT,UT-HD-59,R,Safe,9.84E-08,D,9.83536E-08
UT,UT-HD-75,R,Safe,9.83E-08,D,9.83165E-08
UT,UT-HD-3,R,Safe,9.81E-08,D,9.80881E-08
UT,UT-HD-20,R,Safe,9.72E-08,D,9.72123E-08
UT,UT-HD-58,R,Safe,9.71E-08,D,9.70546E-08
UT,UT-HD-73,R,Safe,9.65E-08,D,9.65077E-08
IN,IN-HD-5,R,Tilt,9.51E-08,D,9.50951E-08
UT,UT-HD-18,R,Safe,9.42E-08,D,9.42456E-08
UT,UT-HD-53,R,Safe,9.42E-08,D,9.41582E-08
MN,MN-HD-21B,R,Safe,-9.39E-08,R,9.38884E-08
